miRNA	Calu3_smallRNA-S1-4h-A	Calu3_smallRNA-S1-4h-B	Calu3_smallRNA-S1-12h-A	Calu3_smallRNA-S1-12h-B	Calu3_smallRNA-S1-24h-A	Calu3_smallRNA-S1-24h-B	Calu3_smallRNA-S2-4h-A	Calu3_smallRNA-S2-4h-B	Calu3_smallRNA-S2-12h-A	Calu3_smallRNA-S2-12h-B	Calu3_smallRNA-S2-24h-A	Calu3_smallRNA-S2-24h-B	Calu3_smallRNA-mock-4h-A	Calu3_smallRNA-mock-4h-B	Calu3_smallRNA-mock-24h-A	Calu3_smallRNA-mock-24h-B	Calu3_smallRNA-untr-4h-A	Calu3_smallRNA-untr-4h-B
hsa-miR-4728-3p	1455	1660	840	1830	799	400	930	1559	908	752	1000	794	1892	1824	671	527	1955	1336
hsa-miR-4728-5p	107	108	67	130	40	36	83	128	49	48	42	40	131	115	42	57	126	57
hsa-miR-4729	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4730	1	0	0	1	1	0	4	0	1	0	0	0	1	0	1	0	0	1
hsa-miR-4733-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-4733-5p	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4734	5	0	1	5	3	1	1	1	2	1	1	0	3	3	0	0	4	1
hsa-miR-4738-3p	0	0	2	0	0	0	2	1	0	0	1	1	1	1	0	0	0	0
hsa-miR-4739	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1
hsa-miR-4741	3	10	2	9	4	2	8	11	3	4	8	16	11	5	7	6	9	10
hsa-miR-4742-3p	1	1	1	4	5	2	0	3	2	1	3	2	7	7	2	2	4	9
hsa-miR-4742-5p	7	6	2	7	1	1	8	3	2	3	0	6	7	10	1	2	3	3
hsa-miR-4743-3p	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4743-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4745-3p	5	12	13	19	17	11	2	5	7	10	22	15	14	8	4	7	25	3
hsa-miR-4745-5p	21	15	8	16	21	4	8	12	6	10	10	11	13	15	11	11	19	7
hsa-miR-4746-5p	1	3	1	0	2	0	0	4	1	1	2	1	3	3	0	2	1	5
hsa-miR-4747-3p	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	3	0
hsa-miR-4747-5p	0	0	0	0	0	1	1	3	0	1	1	0	2	0	0	0	0	1
hsa-miR-4748	0	0	1	0	1	0	0	1	0	0	0	1	3	1	0	1	0	1
hsa-miR-4749-3p	2	3	2	2	0	0	2	1	3	4	1	1	4	6	0	3	6	4
hsa-miR-4749-5p	3	3	1	4	1	1	2	4	3	1	1	2	3	2	0	1	3	2
hsa-miR-4750-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4750-5p	1	1	0	3	1	1	1	2	2	2	3	0	0	3	0	1	0	0
hsa-miR-4753-3p	1	6	0	0	2	0	0	1	0	0	0	1	0	1	0	0	2	0
hsa-miR-4753-5p	0	0	0	1	0	0	1	0	1	1	0	2	0	1	0	0	0	0
hsa-miR-4754	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4755-3p	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4755-5p	3	3	1	6	2	2	0	0	0	0	1	3	4	4	2	1	2	1
hsa-miR-4756-5p	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0
hsa-miR-4758-3p	41	53	22	66	33	24	24	41	23	22	30	27	56	54	27	37	54	43
hsa-miR-4758-5p	20	13	13	26	18	11	6	17	8	13	17	25	29	26	12	7	25	12
hsa-miR-4761-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4762-3p	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0
hsa-miR-4762-5p	0	2	1	1	0	1	1	0	0	1	1	0	0	1	1	1	0	1
hsa-miR-4763-3p	1	0	0	1	3	0	1	0	2	4	6	2	0	2	3	0	1	2
hsa-miR-4763-5p	6	7	4	13	5	1	4	4	5	4	4	6	10	9	1	1	4	2
hsa-miR-4764-5p	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4766-3p	0	0	0	1	3	0	0	0	0	0	1	1	1	2	4	0	1	1
hsa-miR-4766-5p	1	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4767	1	1	2	1	0	0	1	1	1	1	0	0	1	0	0	0	0	1
hsa-miR-4768-5p	0	2	2	0	2	0	1	0	1	0	0	0	0	0	0	1	1	0
hsa-miR-4769-3p	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	2	1
hsa-miR-4773	0	0	0	0	0	0	0	4	0	0	2	0	4	0	0	2	2	0
hsa-miR-4774-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4778-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4779	0	0	1	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-4780	0	1	0	0	0	0	0	1	0	1	0	1	2	2	1	0	4	0
hsa-miR-4781-3p	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4781-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-4783-3p	2	1	2	3	3	0	4	3	2	2	1	4	2	2	2	3	2	2
hsa-miR-4783-5p	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
hsa-miR-4785	0	2	0	3	0	1	2	3	0	1	2	2	4	1	3	0	1	0
hsa-miR-4786-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4787-3p	5	12	14	9	9	1	10	14	5	4	7	6	13	16	1	10	18	8
hsa-miR-4787-5p	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4789-3p	2	7	1	8	9	2	1	6	5	0	6	2	2	5	1	2	4	7
hsa-miR-4789-5p	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4791	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
hsa-miR-4795-3p	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-4796-3p	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0
hsa-miR-4796-5p	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0
hsa-miR-4797-3p	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
hsa-miR-4797-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4799-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4799-5p	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	1	0
hsa-miR-4800-3p	1	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0
hsa-miR-4800-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4801	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4802-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4802-5p	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1
hsa-miR-4804-3p	1	1	0	0	2	1	1	0	1	0	0	0	0	2	1	1	4	0
hsa-miR-4804-5p	17	9	10	14	5	6	9	11	3	4	9	8	8	11	4	13	13	8
hsa-miR-483-3p	1	2	5	4	39	37	2	2	6	5	158	101	0	2	0	1	2	3
hsa-miR-483-5p	0	1	0	0	3	3	0	0	1	2	19	17	0	0	0	0	0	1
hsa-miR-484	325	443	222	434	309	202	237	426	231	127	267	232	787	423	185	216	660	407
hsa-miR-485-3p	23	19	10	17	19	10	11	16	9	9	20	11	21	20	9	6	23	17
hsa-miR-485-5p	2	2	2	6	7	1	3	0	0	3	4	0	3	3	1	1	1	4
hsa-miR-486-3p	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-486-5p	12	6	3	6	2	0	0	2	2	2	2	0	4	4	4	4	2	0
hsa-miR-487a-3p	2	0	1	5	1	1	0	3	2	3	2	6	13	4	0	0	0	3
hsa-miR-487a-5p	3	6	6	6	5	2	3	6	2	4	2	1	7	4	5	7	11	7
hsa-miR-487b-3p	50	53	37	58	21	25	16	24	24	18	30	32	107	69	25	21	61	92
hsa-miR-487b-5p	0	1	0	1	0	0	0	2	0	0	0	0	3	1	0	2	0	0
hsa-miR-489-3p	2	1	0	2	1	1	0	1	1	0	0	0	7	2	1	0	2	1
hsa-miR-491-3p	2	3	1	6	1	0	1	2	2	4	1	0	9	4	5	0	2	4
hsa-miR-491-5p	10	18	5	19	11	10	16	23	7	9	10	11	28	12	4	6	23	10
hsa-miR-492	0	2	0	0	2	0	0	1	0	0	0	3	0	0	0	0	1	2
hsa-miR-493-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
hsa-miR-494-3p	17	10	6	17	13	0	6	12	4	2	6	1	61	38	18	5	38	54
hsa-miR-494-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-495-3p	114	107	65	162	95	38	49	84	41	55	69	53	145	127	38	35	132	144
hsa-miR-495-5p	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1
hsa-miR-496	2	4	0	4	1	0	3	3	0	0	2	1	1	2	1	1	2	2
hsa-miR-497-5p	8	7	2	7	2	3	2	5	1	2	2	4	16	1	4	3	6	7
hsa-miR-4999-3p	0	0	0	3	1	0	0	0	0	0	0	0	1	2	0	0	0	0
hsa-miR-4999-5p	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
hsa-miR-499a-5p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3
hsa-miR-499b-3p	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1
hsa-miR-499b-5p	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2
hsa-miR-5000-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5000-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-5001-3p	2	3	0	1	0	0	0	2	0	0	2	2	1	4	0	1	1	2
hsa-miR-5001-5p	1	1	0	1	2	0	0	0	0	0	0	1	0	3	0	0	0	0
hsa-miR-5004-5p	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
hsa-miR-5006-3p	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-5006-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
hsa-miR-5008-3p	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5008-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-5009-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-500a-3p	93	132	62	148	58	38	68	109	53	49	65	64	121	98	37	51	108	81
hsa-miR-500a-5p	4	10	0	10	0	0	2	10	2	2	2	4	30	14	6	2	14	8
hsa-miR-500b-3p	0	3	0	0	0	0	0	0	0	0	1	2	0	2	0	2	1	3
hsa-miR-500b-5p	2	6	0	8	0	0	2	8	0	2	2	4	16	0	0	2	10	2
hsa-miR-501-3p	34	43	23	31	20	17	24	20	12	17	16	15	39	43	23	10	41	24
hsa-miR-501-5p	12	18	12	34	12	5	9	25	16	7	19	16	21	21	6	4	21	12
hsa-miR-5010-3p	1	1	1	2	1	0	1	1	0	0	0	0	0	1	1	0	4	0
hsa-miR-5010-5p	2	0	1	3	0	0	1	1	0	0	3	1	2	6	0	0	0	2
hsa-miR-502-3p	83	115	55	120	45	31	56	105	45	50	57	58	103	83	38	42	107	63
hsa-miR-502-5p	12	15	16	24	9	4	9	12	14	8	14	11	16	19	6	0	21	13
hsa-miR-503-3p	0	0	1	2	0	1	0	0	1	0	0	1	4	1	3	0	2	4
hsa-miR-503-5p	12	15	8	19	12	7	5	4	6	2	7	10	16	15	5	7	23	14
hsa-miR-505-3p	146	223	110	241	116	75	117	210	151	74	126	90	381	205	87	82	236	183
hsa-miR-505-5p	101	121	56	124	62	23	66	107	37	51	78	71	99	105	45	25	137	79
hsa-miR-508-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-508-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
hsa-miR-5088-3p	3	1	4	1	1	0	0	1	1	0	1	0	0	5	2	4	1	2
hsa-miR-5088-5p	0	6	2	6	0	1	2	0	1	6	1	1	1	2	0	2	3	2
hsa-miR-509-3p	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3
hsa-miR-5090	0	2	0	2	0	0	1	1	1	1	0	0	0	2	0	0	1	0
hsa-miR-5092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-5094	2	1	2	1	1	2	0	2	1	0	1	1	5	2	2	1	3	3
hsa-miR-5100	2	0	3	5	0	0	0	2	2	1	10	4	2	0	1	2	1	2
hsa-miR-511-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-513a-5p	2	0	0	0	0	0	0	0	0	0	2	0	6	4	0	0	0	2
hsa-miR-513b-5p	0	0	0	1	1	2	0	0	1	0	0	1	0	0	0	0	0	0
hsa-miR-513c-5p	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1
hsa-miR-514a-3p	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-516a-5p	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-517-5p	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
hsa-miR-517a-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-517b-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-517c-3p	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-5187-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-5187-5p	0	1	0	2	3	2	0	6	0	0	1	0	2	3	1	0	1	3
hsa-miR-5189-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-518b	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-518e-5p	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
hsa-miR-5193	0	0	1	1	1	2	0	0	0	0	5	0	0	2	0	1	1	0
hsa-miR-5194	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1
hsa-miR-519a-5p	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
hsa-miR-519b-5p	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
hsa-miR-519c-5p	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
hsa-miR-519d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-520f-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-522-5p	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
hsa-miR-523-5p	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
hsa-miR-525-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-532-3p	460	546	282	645	317	187	311	484	319	227	324	280	806	542	231	275	598	497
hsa-miR-532-5p	199	325	163	361	200	124	136	290	152	121	179	162	702	315	118	144	361	270
hsa-miR-539-3p	1	2	0	3	2	2	0	0	0	1	0	0	30	0	1	0	3	10
hsa-miR-539-5p	17	27	20	38	27	15	15	17	16	17	22	20	31	40	10	12	22	22
hsa-miR-541-3p	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-541-5p	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
hsa-miR-542-3p	7	19	8	15	11	3	3	6	5	7	8	1	90	22	8	9	26	36
hsa-miR-542-5p	1	3	0	3	0	0	2	9	2	2	3	2	0	2	3	0	2	1
hsa-miR-543	57	62	32	69	40	34	21	35	15	14	25	28	48	60	16	22	60	50
hsa-miR-544b	3	0	1	3	1	0	1	4	0	1	2	2	2	3	0	3	0	2
hsa-miR-545-5p	0	1	0	1	2	3	2	0	1	0	2	0	4	2	1	0	0	0
hsa-miR-548a-3p	15	9	6	0	9	9	3	9	6	6	3	3	29	21	6	6	12	18
hsa-miR-548ac	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-548ag	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ah-3p	0	0	0	0	0	2	0	0	2	0	0	0	4	2	0	0	0	2
hsa-miR-548ai	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
hsa-miR-548al	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0
hsa-miR-548am-3p	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	1
hsa-miR-548as-5p	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-548at-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-548av-3p	8	6	6	20	8	7	8	22	15	16	18	6	20	20	6	12	8	16
hsa-miR-548aw	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1
hsa-miR-548ay-3p	2	1	5	5	2	2	1	0	1	1	0	0	6	3	0	1	4	2
hsa-miR-548az-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-548b-3p	9	23	15	28	18	7	6	20	14	13	9	15	49	15	8	3	21	16
hsa-miR-548d-3p	32	40	24	36	16	8	8	18	20	10	6	4	120	54	10	12	44	110
hsa-miR-548e-3p	3	2	0	0	1	0	1	2	0	0	2	0	2	2	0	0	1	1
hsa-miR-548f-3p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548h-3p	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
hsa-miR-548j-3p	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
hsa-miR-548l	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	1	0	1
hsa-miR-548o-3p	8	6	6	20	8	4	8	22	12	16	18	6	16	19	6	12	8	14
hsa-miR-548p	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	1
hsa-miR-548q	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
hsa-miR-548s	2	2	0	0	1	0	0	2	1	0	1	1	2	1	0	1	0	0
hsa-miR-548t-5p	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-548v	0	0	0	0	1	0	0	1	0	1	0	1	4	0	0	1	0	1
hsa-miR-548x-3p	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-548z	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
hsa-miR-549a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1
hsa-miR-549a-5p	6	0	0	2	3	1	0	0	0	0	2	0	3	0	3	0	2	0
hsa-miR-550a-3-5p	62	117	61	83	55	37	60	103	58	66	77	81	103	79	33	33	100	72
hsa-miR-550a-3p	36	36	24	84	24	30	27	57	42	15	39	36	48	30	30	9	93	21
hsa-miR-550a-5p	54	100	54	74	50	30	54	88	52	58	64	62	86	64	30	26	80	66
hsa-miR-550b-2-5p	0	0	0	0	0	0	0	2	2	0	0	0	2	4	0	0	2	0
hsa-miR-550b-3p	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-551a	7	23	13	30	8	6	9	16	12	9	9	8	17	8	8	14	37	15
hsa-miR-551b-3p	0	4	1	3	4	0	0	3	2	1	3	3	4	1	0	0	3	2
hsa-miR-551b-5p	6	3	0	0	2	0	0	1	2	1	0	0	4	0	0	1	1	0
hsa-miR-552-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-556-3p	58	63	41	63	25	35	40	48	25	34	45	48	38	47	8	28	47	27
hsa-miR-556-5p	1	0	0	3	0	0	4	2	2	1	1	1	7	1	0	1	1	2
hsa-miR-5580-3p	2	0	2	1	1	0	0	0	0	0	1	0	1	0	2	1	0	1
hsa-miR-5580-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-5581-3p	0	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-5582-3p	1	4	1	1	1	1	0	0	1	1	1	1	0	1	2	3	1	2
hsa-miR-5582-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-5583-3p	2	4	2	16	4	0	0	2	0	6	2	2	6	4	2	0	8	2
hsa-miR-5584-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
hsa-miR-5587-3p	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-5588-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5589-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
hsa-miR-5589-5p	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-559	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0
hsa-miR-561-3p	0	1	2	5	5	0	0	0	0	5	1	0	8	3	2	1	1	2
hsa-miR-561-5p	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	3
hsa-miR-5684	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-5685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-5690	4	9	8	5	4	2	2	3	0	8	7	6	2	5	2	12	9	4
hsa-miR-5695	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5696	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2
hsa-miR-5697	0	1	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	1
hsa-miR-5698	0	1	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0
hsa-miR-5699-3p	0	0	1	0	2	1	0	0	0	0	0	2	2	1	0	0	2	1
hsa-miR-5699-5p	1	5	5	3	1	4	3	3	3	1	2	0	2	4	1	2	3	1
hsa-miR-570-3p	14	20	10	15	13	1	4	7	3	6	8	4	47	34	4	5	18	28
hsa-miR-570-5p	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
hsa-miR-5701	267	402	246	450	219	159	120	135	114	129	174	111	288	252	192	258	387	216
hsa-miR-5702	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-5703	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-5704	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-572	0	0	0	1	0	0	1	0	0	0	0	0	0	5	0	0	2	0
hsa-miR-573	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-574-3p	781	854	426	948	528	307	449	669	389	388	404	380	1307	1027	425	522	1182	1175
hsa-miR-574-5p	0	3	2	2	0	0	2	2	0	0	6	2	1	1	1	0	3	1
hsa-miR-576-3p	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-576-5p	71	88	54	126	77	26	55	87	49	51	62	65	177	123	42	53	133	112
hsa-miR-577	27	39	28	57	37	17	17	30	18	28	27	23	145	72	28	20	69	99
hsa-miR-578	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-5787	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-579-3p	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
hsa-miR-579-5p	0	0	0	1	5	0	0	0	1	2	0	0	1	0	0	0	1	0
hsa-miR-580-3p	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	1
hsa-miR-582-3p	1	0	0	0	1	2	0	0	0	0	0	2	7	0	0	0	1	1
hsa-miR-582-5p	4	9	5	10	2	1	1	5	6	2	4	3	57	9	8	2	10	12
hsa-miR-584-3p	12	11	10	17	7	5	2	3	6	3	4	7	15	13	12	5	17	8
hsa-miR-584-5p	16	8	9	11	5	5	3	7	8	2	3	4	15	8	7	3	19	17
hsa-miR-586	1	2	0	2	2	1	0	0	0	0	1	0	1	1	0	0	0	2
hsa-miR-589-3p	14	23	13	18	9	7	10	26	6	5	11	11	18	14	4	5	23	20
hsa-miR-589-5p	17	30	11	21	12	8	15	14	17	8	8	14	39	30	16	16	25	18
hsa-miR-590-3p	62	88	54	121	70	23	43	39	30	45	53	24	264	162	72	39	131	204
hsa-miR-590-5p	19	9	11	31	17	7	7	10	10	3	6	9	77	35	4	7	21	26
hsa-miR-592	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-597-3p	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1
hsa-miR-597-5p	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-598-3p	0	2	3	2	2	0	0	0	0	0	0	0	7	5	1	1	1	5
hsa-miR-602	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	3	0
hsa-miR-603	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-605-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6076	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6089	0	0	0	0	0	2	0	0	2	0	0	4	0	0	0	0	0	0
hsa-miR-6090	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-610	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0
hsa-miR-612	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6126	15	12	2	11	3	10	5	2	2	7	7	3	3	5	0	8	9	5
hsa-miR-6131	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-615-3p	0	0	0	1	0	1	0	2	0	0	1	0	1	1	0	1	1	0
hsa-miR-615-5p	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0
hsa-miR-616-3p	6	3	7	14	1	2	2	8	1	1	2	3	4	7	4	6	5	2
hsa-miR-616-5p	6	3	2	1	1	1	1	1	3	0	3	3	8	3	2	1	3	3
hsa-miR-618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-622	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-624-3p	1	2	2	2	0	0	1	1	0	1	0	1	4	4	0	0	2	1
hsa-miR-624-5p	7	6	10	6	4	1	3	4	4	4	0	1	15	19	4	5	20	25
hsa-miR-625-3p	519	601	376	775	565	234	308	397	236	337	392	265	960	923	446	420	885	775
